datetime,username,tweet;;;;;;;;
"2022-04-18 23:48:54+00:00,KabarBanten72,""UU TPKS Disahkan, Berikut 6 Poin Penting dari Permendikbudristek https://t.co/rtxsuhD4ox""";;;;;;;;
"2022-04-18 22:32:56+00:00,Akunkuopiniku,""@rizkiwulandani @byeoreum @tegarfr__ @dikignwn @Wirogendheng88 @tubirfess UU TPKS dan kenaikan usia menikah aja udah ngebuktiin ini salah, child marriage itu dihalalkan di islam. Sedangkan batas usia pernikahan itu 19 disini""";;;;;;;;
"2022-04-18 21:41:24+00:00,Mat16_16,""Kerja lamban.";;;;;;;;
;;;;;;;;
Bikin UU utk melindungi perempuan dr kejahatan sexual kok butuh waktu 10 thn.;;;;;;;;
Itupun stlh didemo berkali2.;;;;;;;;
;;;;;;;;
BEM SI;;;;;;;;
BEM UI;;;;;;;;
#perempuanbisa;;;;;;;;
DPR RI;;;;;;;;
Joko Widodo;;;;;;;;
PDIP;;;;;;;;
Polri;;;;;;;;
UU TPKS;;;;;;;;
detikNews;;;;;;;;
Komnas Perempuan;;;;;;;;
Partai Demokrat;;;;;;;;
Susi Pudjiastuti;;;;;;;;
Yenny Wahid;;;;;;;;
"Mata Najwa https://t.co/WKBPEwDRce""";;;;;;;;
"2022-04-18 08:55:56+00:00,BenLazuardy,""“Pengesahan RUU TPKS menjadi UU adalah hadiah bagi seluruh perempuan Indonesia. Apalagi menjelang Hari Kartini,”  --Puan Maharani https://t.co/wNtr0L719I""";;;;;;;;
2022-04-18 08:55:49+00:00,BenLazuardy,Puan mengatakan pengesahan RUU TPKS menjadi UU merupakan hadiah bagi seluruh perempuan Indonesia. https://t.co/wNtr0L719I;;;;;;;;
"2022-04-18 08:50:29+00:00,Benny_Yohannes,""“Haru dan lega. Itu yang saya rasakan setelah beleid ini disahkan. Bagi saya, pengesahan RUU TPKS menjadi UU adalah hadiah untuk kita semua, terutama seluruh perempuan Indonesia jelang Peringatan Hari Kartini.” –Puan Maharani   https://t.co/mILk4GLNzo""";;;;;;;;
"2022-04-18 08:48:37+00:00,jalastoria,""berpelukan setelah Ketua DPR RI Puan Maharani mengetok palu tanda persetujuan RUU TPKS menjadi UU.";;;;;;;;
;;;;;;;;
Selengkapnya:;;;;;;;;
;;;;;;;;
"https://t.co/MLZgVUFWXA""";;;;;;;;
2022-04-18 08:48:12+00:00,bengkellas120,Puan dinilai berperan penting di balik pengesahan UU TPKS lho sobat puan! https://t.co/VnvNmth3Eu;;;;;;;;
2022-04-18 08:48:05+00:00,bengkellas120,Puan memiliki sensitivitas dan kepedulian yang tinggi terhadap perempuan. Hal itu tergambar ketika Puan menitikkan air mata saat mengesahkan UU TPKS. https://t.co/VnvNmth3Eu;;;;;;;;
"2022-04-18 08:47:50+00:00,bengkellas120,""Puan juga terus berkoordinasi dengan pihak Pemerintah, termasuk dengan Presiden Joko Widodo (Jokowi) mengenai UU TPKS. https://t.co/YzQeZEnOi9""";;;;;;;;
"2022-04-18 08:47:22+00:00,bengbeng_java,""Sejak menjadi Menko PMK, Puan memang menjadi salah satu tokoh yang memperjuangkan agar UU TPKS disahkan. https://t.co/jXidfTGKkA""";;;;;;;;
2022-04-18 08:44:57+00:00,belmaharani,Puan pun berpesan agar UU TPKS segera diterjemahkan menjadi aturan-aturan pelaksanaan teknis. https://t.co/C0uX4ReO8w;;;;;;;;
"2022-04-18 08:32:46+00:00,kemenkopmk,""RUU TPKS telah resmi di sahkan menjadi UU TPKS oleh DPR RI melalui Rapat Paripurna DPR RI Ke-19 Masa Persidangan IV Tahun Sidang 2021 - 2022 pada Selasa (12/4). ";;;;;;;;
;;;;;;;;
"#UUTPKS #PerempuanBerdaya #AnakTerlindungi #KemenkoPMK #AyoBerubah #RevolusiMental https://t.co/w3yQ28tTJB""";;;;;;;;
"2022-04-18 08:32:20+00:00,kemenkopmk,""#SahabatPMK Akhirnya Indonesia memiliki Undang-Undang Tindak Pidana Kekerasan Seksual (UU TPKS) untuk melindungi perempuan dan anak dari segala bentuk ancaman kekerasan.";;;;;;;;
;;;;;;;;
"#UUTPKS #PerempuanBerdaya #AnakTerlindungi #KemenkoPMK #AyoBerubah #RevolusiMental https://t.co/9W3plYW8Rs""";;;;;;;;
"2022-04-18 08:20:00+00:00,RunningTextID,""BRIN DORONG HADIRNYA PERATURAN TURUNAN UU TPKS";;;;;;;;
"#BRIN #TPKS #NASIONAL""";;;;;;;;
"2022-04-18 08:08:33+00:00,korantempo,""Terbitnya UU TPKS dianggap akan memperkuat Permendikbud Nomor 30 Tahun 2021 tentang Pencegahan dan Penanganan Kekerasan Seksual. Meski begitu, kedua regulasi untuk perlindungan dari kekerasan seksual itu dinilai perlu disinergikan. #KoranTempo https://t.co/QFj9BepnHq""";;;;;;;;
2022-04-18 08:08:23+00:00,aoyuueen,@mandyy_nsfw Serba salah sekarang. Orang2 seakan lupa sudah ada UU TPKS. Setidaknya kita semua bisa bijak dalam bersikap dan memilih milih sama siapa kita bercanda. Takutnya candaan pada orang tidak tepat dianggap pelecehan akhirnya bisa masuk perkara pidana. Bahayanya delik PKS adalah biasa.;;;;;;;;
"2022-04-18 08:06:44+00:00,izlwhd,""9 Potret Kompak Megan Domani dan Papa Bulenya, Jarang Disorot!";;;;;;;;
;;;;;;;;
"Selamat Paskah Puan Pahlawan UUTPKS 2ne1 #DevilSisterXMintLive HAVE A SAFE FLIGHT Happy Easter https://t.co/4JrAKGarm8""";;;;;;;;
"2022-04-18 08:06:42+00:00,izlwhd,""Kenalkan, Bayi Beruang Cokelat Nan Imut yang Belum Lama Lahir di Taman Safari Indonesia Bogor";;;;;;;;
;;;;;;;;
"HAVE A SAFE FLIGHT Puan Pahlawan UUTPKS #BhayangkaraFestival2022 Selamat Paskah 2ne1 respect blackpink https://t.co/5AGVvnOOOj""";;;;;;;;
2022-04-18 08:00:14+00:00,theaqyal,mensahkan UU TPKS disaat sekarang tidak membuat ekonomi lebih baik. Mestinya yg disahkan adalah UU menghukum mati koruptor. Memang masalah sosial itu kebanyakan akibat masalah ekonomi.;;;;;;;;
2022-04-18 07:57:20+00:00,insistpress,Para ibu sore itu bisa bernapas lega karena mereka akhirnya memiliki payung hukum untuk melindungi diri dari kekerasan seksual. Sekarang tugas kita mengawasi jalannya UU TPKS!;;;;;;;;
"2022-04-18 07:44:46+00:00,PUANnews,""#Warganet Apresiasi Kepemimpinan Puan di DPR yang Lahirkan UU TPKS - https://t.co/Dd2lKJSzBQ ";;;;;;;;
#PuanMaharani;;;;;;;;
;;;;;;;;
"https://t.co/1ZcIkg4zUF""";;;;;;;;
2022-04-18 07:44:03+00:00,GesuriID,DPP BMI mengajak kaum muda dan seluruh elemen masyarakat untuk terus mengawal dan membantu sosialisasi UU TPKS. https://t.co/Atf3bQTpNj;;;;;;;;
"2022-04-18 07:06:15+00:00,izlwhd,""Dua Pekan PPKM Jawa-Bali Berakhir Hari Ini";;;;;;;;
;;;;;;;;
"#DevilSisterXMintLive 2ne1 Puan Pahlawan UUTPKS #DevilSisterXMintLive #KM50RoadToDenHaag Ayo Percaya Jokowi https://t.co/GqQH2a37mI""";;;;;;;;
2022-04-18 07:06:14+00:00,Beritasatu,Warganet Apresiasi Kepemimpinan Puan di DPR yang Lahirkan UU TPKS https://t.co/Qtr5V45u5o https://t.co/dbYhDAUYwh;;;;;;;;
"2022-04-18 07:01:48+00:00,kpp_pa,""Tentu banyak sekali hal yang sudah dipikirkan dan siapkan, mengingat UU TPKS ini sangat komprehensif dari hulu sampai hilir termasuk didalamya terdapat beberapa substansi baru yang berperspektif pada korban.";;;;;;;;
;;;;;;;;
#UUTPKS;;;;;;;;
#PerempuanBerdaya;;;;;;;;
"#AnakTerlindungi https://t.co/ByQYzcSGPt""";;;;;;;;
"2022-04-18 07:01:46+00:00,kpp_pa,""Sahabat Perempuan dan Anak, Undang-Undang Tindak Pidana Kekerasan Seksual (UU TPKS) adalah bentuk kehadiran Negara untuk melindungi dan memenuhi hak korban kekerasan seksual.";;;;;;;;
;;;;;;;;
Nah, Sahabat.. apa saja substansi baru dalam #UUTPKS ?;;;;;;;;
"#PerempuanBerdaya #AnakTerlindungi https://t.co/aB8F4SJevg""";;;;;;;;
"2022-04-18 06:57:41+00:00,Bunqkring,""[LIVE] Perspektif PKAD : UU TPKS, Legalisasi Seks Bebas kah ? https://t.co/zS9uwzQN6a""";;;;;;;;
"2022-04-18 06:54:01+00:00,aselisnack,""Saya tadi baca berita judulnya :";;;;;;;;
UU TPKS Disyahkan Ancaman Buat PKS ?;;;;;;;;
"Dicari lagi koq nggak ketemu yaaa....""";;;;;;;;
"2022-04-18 06:53:33+00:00,mediaindonesia,""Puan Sahkan UU TPKS, Kado Terindah Sambut Hari Kartini  https://t.co/qdgpb3YpUo""";;;;;;;;
"2022-04-18 06:35:45+00:00,windumuktiw,""@hrdbacot Klo perusahaan swasta ada buku Peraturan Perusahaan (PP), klo @PNS_Ababil pedomannya apa ya spy ada batasan kerja spt ini termasuk UU TPKS yg baru disahkan? Musti lapor kemana klo ada yg gak sesuai?""";;;;;;;;
2022-04-18 06:21:06+00:00,PDI_Perjuangan,“DPP BMI mengajak kaum muda dan seluruh elemen masyarakat untuk terus mengawal dan membantu sosialisasi UU TPKS sebagai bentuk perlindungan dari kekerasan seksual terhadap perempuan dan kekerasan kepada;;;;;;;;
"2022-04-18 05:43:48+00:00,jonegsuk,""RUU TPKS memang sudah hampir selesai dibahas di DPR sehingga diharapkan pengesahan RUU TPKS menjadi kado manis pada Hari Kartini.";;;;;;;;
#PerempuanBisa;;;;;;;;
"Puan Pahlawan UUTPKS https://t.co/NwTytMNmvD""";;;;;;;;
